RequestID,MachineID,Plant,CreatedDate,StartDate,EndDate,Category,Priority,Technician,DowntimeHours,Cost,Status
R-00001,M-008,Plant B,2024-09-10 07:40:00,2024-09-10 10:40:00,2024-09-10 21:40:00,Preventive,High,Taylor,1.79,1521.63,Closed
R-00002,M-005,Plant A,2025-06-10 08:07:00,2025-06-10 19:07:00,2025-06-11 01:07:00,Preventive,Medium,Jordan,3.65,764.33,Closed
R-00003,M-007,Plant B,2025-11-05 14:42:00,2025-11-05 19:42:00,2025-11-06 02:42:00,Preventive,Medium,Alex,1.65,783.97,Closed
R-00004,M-035,Plant B,2025-04-04 04:47:00,2025-04-04 22:47:00,2025-04-05 03:47:00,Preventive,Medium,Taylor,1.04,553.62,Closed
R-00005,M-035,Plant B,2024-01-16 03:11:00,2024-01-17 21:11:00,2024-01-18 07:11:00,Corrective,Low,Jordan,7.96,1243.49,Closed
R-00006,M-025,Plant A,2024-09-28 15:31:00,2024-09-29 01:31:00,2024-09-29 03:31:00,Preventive,Medium,Jamie,1.15,374.96,Closed
R-00007,M-035,Plant B,2024-03-03 10:42:00,2024-03-04 06:42:00,2024-03-04 08:42:00,Preventive,Medium,Jordan,0.26,284.07,Closed
R-00008,M-008,Plant B,2025-08-06 08:24:00,2025-08-06 14:24:00,2025-08-07 11:24:00,Corrective,High,Sam,2.63,2928.34,Closed
R-00009,M-046,Plant A,2024-11-17 08:08:00,2024-11-17 15:08:00,2024-11-17 18:08:00,Preventive,High,Morgan,0.57,387.0,Closed
R-00010,M-035,Plant B,2024-08-06 17:16:00,2024-08-07 23:16:00,2024-08-08 03:16:00,Preventive,Low,Sam,0.61,637.0,Closed
R-00011,M-046,Plant A,2024-11-05 20:52:00,2024-11-08 19:52:00,2024-11-09 00:52:00,Corrective,Low,Alex,5.24,2203.02,Closed
R-00012,M-010,Plant B,2024-10-05 09:37:00,2024-10-06 05:37:00,2024-10-06 15:37:00,Corrective,Medium,Taylor,14.36,1621.51,Closed
R-00013,M-028,Plant A,2024-10-10 01:30:00,2024-10-12 00:30:00,2024-10-12 08:30:00,Preventive,Low,Morgan,1.05,1185.31,Closed
R-00014,M-045,Plant A,2024-06-01 18:37:00,2024-06-02 02:37:00,2024-06-02 06:37:00,Preventive,Medium,Jordan,1.32,689.19,Closed
R-00015,M-051,Plant B,2024-02-10 12:12:00,2024-02-10 17:12:00,2024-02-11 00:12:00,Preventive,High,Sam,2.8,1064.76,Closed
R-00016,M-052,Plant B,2024-06-30 14:04:00,2024-07-01 01:04:00,2024-07-01 02:04:00,Preventive,Medium,Casey,3.4,208.09,Closed
R-00017,M-056,Plant A,2024-02-09 16:03:00,2024-02-12 08:03:00,2024-02-12 10:03:00,Preventive,Low,Jamie,2.15,327.25,Closed
R-00018,M-056,Plant A,2024-03-12 09:31:00,2024-03-12 16:31:00,2024-03-12 19:31:00,Preventive,Medium,Casey,1.6,476.37,Closed
R-00019,M-017,Plant B,2024-02-09 03:42:00,2024-02-10 02:42:00,2024-02-10 09:42:00,Corrective,Medium,Casey,8.1,1077.33,Closed
R-00020,M-028,Plant A,2024-01-02 17:44:00,2024-01-03 10:44:00,2024-01-04 01:44:00,Corrective,Medium,Taylor,4.47,2487.02,Closed
R-00021,M-055,Plant A,2024-05-07 10:15:00,2024-05-07 23:15:00,2024-05-08 05:15:00,Corrective,Medium,Casey,0.0,2076.44,Closed
R-00022,M-058,Plant B,2024-06-27 21:00:00,2024-06-28 10:00:00,2024-06-29 04:00:00,Corrective,Medium,Alex,10.55,3359.57,Closed
R-00023,M-021,Plant B,2025-04-21 15:04:00,2025-04-21 17:04:00,2025-04-22 02:04:00,Preventive,High,Jamie,1.18,1189.41,Closed
R-00024,M-016,Plant B,2025-11-19 10:35:00,2025-11-19 10:35:00,2025-11-19 21:35:00,Preventive,High,Alex,1.2,1294.62,Closed
R-00025,M-057,Plant A,2025-10-06 19:38:00,2025-10-07 06:38:00,2025-10-07 11:38:00,Preventive,Medium,Jamie,3.17,734.0,Closed
R-00026,M-007,Plant B,2025-03-11 07:28:00,2025-03-12 10:28:00,2025-03-12 13:28:00,Preventive,Low,Jamie,1.56,373.4,Closed
R-00027,M-030,Plant A,2025-11-14 18:07:00,2025-11-15 11:07:00,2025-11-16 03:07:00,Corrective,Medium,Jamie,5.82,2319.75,Closed
R-00028,M-016,Plant B,2025-10-14 09:27:00,2025-10-15 03:27:00,2025-10-15 14:27:00,Corrective,Medium,Taylor,1.46,1775.49,Closed
R-00029,M-021,Plant B,2025-07-07 02:45:00,2025-07-07 05:45:00,2025-07-07 14:45:00,Preventive,High,Jordan,1.15,1159.68,Closed
R-00030,M-025,Plant A,2025-08-21 23:44:00,2025-08-24 23:44:00,2025-08-25 03:44:00,Preventive,Low,Riley,1.58,620.82,Closed
R-00031,M-055,Plant A,2025-03-05 18:22:00,2025-03-06 05:22:00,2025-03-06 22:22:00,Corrective,Medium,Taylor,9.56,3434.76,Closed
R-00032,M-026,Plant B,2024-06-18 15:57:00,2024-06-20 15:57:00,2024-06-20 17:57:00,Corrective,Low,Alex,6.66,1645.6,Closed
R-00033,M-009,Plant A,2025-04-17 06:12:00,2025-04-17 20:12:00,2025-04-18 01:12:00,Preventive,Medium,Taylor,1.52,604.67,Closed
R-00034,M-006,Plant A,2025-04-26 00:39:00,2025-04-26 03:39:00,2025-04-26 12:39:00,Corrective,High,Casey,0.0,2877.66,Closed
R-00035,M-013,Plant A,2024-01-21 21:12:00,2024-01-22 00:12:00,2024-01-22 10:12:00,Preventive,High,Sam,2.18,1256.88,Closed
R-00036,M-008,Plant B,2024-06-16 10:37:00,2024-06-16 16:37:00,2024-06-16 23:37:00,Preventive,High,Morgan,2.69,1016.59,Closed
R-00037,M-054,Plant A,2025-10-04 08:17:00,2025-10-06 06:17:00,2025-10-06 09:17:00,Preventive,Low,Sam,0.68,405.55,Closed
R-00038,M-055,Plant A,2025-03-06 16:43:00,2025-03-07 15:43:00,2025-03-08 00:43:00,Preventive,Low,Jamie,2.36,1291.05,Closed
R-00039,M-018,Plant A,2025-09-22 18:22:00,2025-09-23 05:22:00,2025-09-23 10:22:00,Corrective,Medium,Morgan,8.2,1651.7,Closed
R-00040,M-040,Plant B,2025-11-15 12:56:00,2025-11-16 07:56:00,2025-11-16 11:56:00,Preventive,Medium,Casey,0.99,512.91,Closed
R-00041,M-057,Plant A,2025-09-02 23:56:00,2025-09-03 10:56:00,2025-09-04 03:56:00,Corrective,Medium,Taylor,3.21,2623.97,Closed
R-00042,M-046,Plant A,2025-05-17 15:17:00,2025-05-17 21:17:00,2025-05-18 16:17:00,Corrective,High,Taylor,4.99,3314.82,Closed
R-00043,M-028,Plant A,2025-07-17 11:17:00,2025-07-17 22:17:00,2025-07-18 04:17:00,Preventive,Medium,Morgan,0.84,960.93,Closed
R-00044,M-045,Plant A,2024-07-08 06:32:00,2024-07-08 16:32:00,2024-07-08 19:32:00,Preventive,Medium,Morgan,3.01,430.57,Closed
